feature,rf_importance,rf_rank,correlation,corr_rank,mutual_info,mi_rank,avg_rank,combined_rank
humidity_change2h,3.16967311755637e-05,98.0,0.034202785485771894,102.0,0.017057522935838954,114.0,104.66666666666667,113.0
temp_change1h,3.273332868059937e-05,96.0,0.02391431703597571,122.0,0.024428766648994404,100.0,106.0,114.5
windspeed_roll6h_std,9.433188709401608e-05,61.0,0.01666903687394388,131.0,0.012676332093124465,126.0,106.0,114.5
low_cloud_prob,2.0522570293079195e-06,154.0,0.06657260728157399,75.0,0.026978025580550735,92.0,107.0,116.0
windspeed_roll1h,1.5787216912293235e-05,115.0,0.025608686670028104,116.5,0.025064579789246366,96.0,109.16666666666667,117.5
풍속(m/s),1.5141931488462792e-05,117.0,0.025608686670028104,116.5,0.025243262599370375,94.0,109.16666666666667,117.5
windspeed_change3h,4.7846773897542223e-05,80.0,0.026615719383354646,112.0,0.006224133686355771,138.0,110.0,119.0
windspeed_lag2h,5.471067012173336e-05,77.0,0.013413387853464444,144.0,0.01765887387077747,113.0,111.33333333333333,120.0
날씨불안정지수,4.538702827942973e-05,84.0,0.018006962147337418,130.0,0.014686994271843723,121.0,111.66666666666667,121.0
기온_급변,2.9623294860915663e-05,101.0,0.03126116251731667,105.0,0.010598832747045872,134.0,113.33333333333333,122.0
humidity_roll3h_std,3.6685133768267525e-05,94.0,0.022681336741572217,124.0,0.012676540573503203,125.0,114.33333333333333,123.0
COS_일,0.00011732712436789911,55.0,0.012590845123217105,147.0,0.004598558032939071,143.0,115.0,124.0
cloudy_or_rain,7.647516652829527e-07,168.0,0.06823513406193146,70.0,0.019351253291715276,109.0,115.66666666666667,125.0
COS_요일,9.699308931962011e-05,59.0,0.010928427156513681,154.0,0.0076585272379472435,135.0,116.0,126.5
sunshine_change2h,2.7392604304256827e-05,103.0,0.006669412921841406,162.0,0.03013181091117456,83.0,116.0,126.5
rainfall_roll6h_std,1.9725586796241712e-05,110.0,0.018608315750851537,129.0,0.017760708929167368,112.0,117.0,128.0
convective_cloud_prob,4.3259589092269215e-05,85.0,0.009371230978359128,159.0,0.020424001079456744,108.0,117.33333333333333,129.0
humidity_change1h,2.3539455828105556e-05,104.0,0.019571018431591734,128.0,0.014070479754559884,122.0,118.0,130.0
windspeed_lag3h,6.952502495858183e-05,69.0,0.0034810081688439296,174.0,0.01686834169645124,115.0,119.33333333333333,131.0
solar_reduction_factor,1.1133481968538451e-06,163.0,0.058877309545689996,85.0,0.018887186037333636,111.0,119.66666666666667,132.0
high_humidity,5.989356232176762e-07,173.0,0.06761542342592425,73.0,0.016137148563137638,118.0,121.33333333333333,133.5
afternoon_cumulus_prob,1.985638590264972e-06,156.0,0.06393844194889935,78.0,0.01156741078210155,130.0,121.33333333333333,133.5
windspeed_change2h,4.180850231139965e-05,86.0,0.016497676355226365,132.0,0.0038824410149151944,147.0,121.66666666666667,135.0
